"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","lwr.ci","upr.ci","dataInput","model","site","groupAge","serotype","year.lamb"
"C1D1",0.0144938627778075,0.0167444871146821,0.0173142149384223,0.0173300861342893,0.0178868100342944,0.0211286331581083,0.0173149305596757,0.017345241708903,"C1D1","cons","HC",5,NA,NA
"C1F1",0.0143632838886927,0.0167455243891597,0.0173137757285602,0.0173304298722936,0.0178756657062623,0.0210988566276361,0.0173152420722419,0.0173456176723454,"C1F1","cons","HC",5,NA,NA
"C1D3",0.0144467254303238,0.0167528234145774,0.0173201811431967,0.0173306646477584,0.0178919725635001,0.0213837608860051,0.0173154988069443,0.0173458304885724,"C1D3","cons","HC",5,NA,NA
"C1F3",0.0143925607743961,0.0167749000890223,0.0173327208291275,0.0173500044997501,0.0179161307808943,0.0213614291910729,0.0173347352309179,0.0173652737685824,"C1F3","cons","HC",5,NA,NA
