"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","lwr.ci","upr.ci","dataInput","model","site","groupAge","serotype","year.lamb"
"C1D1",0.0204352806759255,0.0239313027758986,0.0246744548940374,0.0246902207359207,0.0254370201459296,0.0304080270710305,0.0246696381714821,0.0247108033003593,"C1D1","cons","KH",5,NA,NA
"C1F1",0.0207105260724267,0.0239193443789086,0.024663149334994,0.0246888569808399,0.0254444747712355,0.030408027074893,0.0246682484504726,0.0247094655112072,"C1F1","cons","KH",5,NA,NA
"C1D3",0.0204325397570352,0.0239191086073635,0.0246710807536761,0.0246853475011301,0.0254368968847948,0.0304080270798697,0.0246647898361142,0.024705905166146,"C1D3","cons","KH",5,NA,NA
"C1F3",0.0207105268735855,0.0239049903905949,0.0246581983160007,0.0246815415168634,0.0254380685102986,0.0304080270706314,0.0246607718591216,0.0247023111746052,"C1F3","cons","KH",5,NA,NA
